edge_strength,seed,roll_window,raw_signal_corr,n_full,corr_full,n_nonoverlap,corr_nonoverlap,corr_ratio,wall_clock_sec,error
3.0,0,20,0.48589447670196195,977,0.049410423914744775,49,-0.649530690051111,-13.145620672509182,16.129003763198853,
3.0,1,20,0.4884475868128499,977,0.028499300688086076,49,-0.08508791666010103,-2.985614194234296,16.122145414352417,
3.0,2,20,0.47624522072944775,993,0.14904372664625726,50,0.8824776806366679,5.92093139707352,16.716780185699463,
3.0,3,20,0.4680714208779686,977,0.0029172325013325957,49,-0.005736511258724371,-1.966422373295212,16.018768310546875,
3.0,4,20,,,,,,,,ValueError: Raw trades have zero or negative total dollar volume
5.0,0,20,0.5011529550910756,977,0.04253151786761091,49,0.2804323046026194,6.593517435129618,16.332299947738647,
5.0,1,20,0.4998035636339022,976,0.056502013308232214,49,0.034256053494635494,0.6062802277108321,16.214559078216553,
5.0,2,20,0.49591928300839505,1013,0.0013422780411685238,51,,,16.273313999176025,
5.0,3,20,0.4868715879560857,967,-0.00474538537688754,49,0.014262910362492104,-3.005637947122228,15.549878597259521,
5.0,4,20,,,,,,,,ValueError: Raw trades have zero or negative total dollar volume
8.0,0,20,0.49916541267700015,1083,0.09249499251822452,55,0.06848665086895774,0.7404363090841231,22.56957745552063,
8.0,1,20,0.5017667603796048,1026,-0.013218765692388734,52,-0.43095027049073514,32.601400200237535,22.408643007278442,
8.0,2,20,,,,,,,,ValueError: Raw trades have zero or negative total dollar volume
8.0,3,20,0.4814631907919792,977,-0.002118173695241573,49,0.019714009894392547,-9.307078989168641,21.310788869857788,
8.0,4,20,,,,,,,,ValueError: Raw trades have zero or negative total dollar volume
0.5,5,20,0.13418393969444292,975,0.015362474789763825,49,0.1450537307361088,9.442080961640347,7.24750828742981,
0.5,6,20,0.1455394276666769,975,0.08386659963392261,49,0.01200133553178595,0.14310029957303305,7.390313625335693,
0.5,7,20,0.12913315271245557,975,-0.02700654039088608,49,0.1176830090717738,-4.357574401180552,7.124021053314209,
0.5,8,20,0.11086266504564424,975,-0.02168309151660159,49,0.07765450165510004,-3.5813390168853054,7.24580192565918,
0.5,9,20,0.1412605881620003,975,0.0512766597076888,49,0.27787955756773297,5.419221126177719,7.229461431503296,
0.5,10,20,0.14206010555986698,975,-0.033942846737007815,49,-0.18326384488512426,5.39918900453662,7.236773490905762,
0.5,11,20,0.16420861795216765,975,-0.04372601726339222,49,0.010579281360864595,-0.24194477391202185,7.461395978927612,
0.5,12,20,0.19561787080017967,975,-0.027597854492589818,49,0.07865827424128745,-2.8501590318337118,8.599498748779297,
0.5,13,20,0.17347657414553455,975,0.06198193302525583,49,-0.2444653059493674,-3.944138138604921,8.421340465545654,
0.5,14,20,0.18627014797359628,975,0.021275530531732187,49,-0.012084886801648502,-0.5680181175094104,12.873489618301392,
0.5,15,20,0.19944300817182145,975,0.006529878766165054,49,-0.09964944793906398,-15.260535686420914,10.772417306900024,
0.5,16,20,0.13923319574943338,975,-0.0018150724357287817,49,-0.03177743385229252,17.507529301183705,11.404882431030273,
0.5,17,20,0.17024023747860387,975,0.04035186766121658,49,-0.1480376109051491,-3.6686681307550133,10.417076587677002,
0.5,18,20,0.21486296997431226,975,0.03154933548781005,49,0.1877995408076131,5.952567238069867,9.949213027954102,
0.5,19,20,0.18243556917898346,975,-0.035604706335660936,49,-0.19002652560588917,5.33711818360267,8.809442281723022,
0.5,20,20,0.22565928611263905,975,0.032202758561189114,49,-0.08977969299099853,-2.7879503807230153,10.023336172103882,
0.5,21,20,0.1443428548837199,975,0.01575708558454275,49,-0.16207942745291293,-10.286129791153016,9.376407861709595,
0.5,22,20,0.1680349469628303,975,0.043199109643197786,49,-0.05280493660395202,-1.2223616884721322,7.932138681411743,
0.5,23,20,0.21326371669736416,975,0.035361620040825645,49,0.06164982009649342,1.7434105118859815,7.863500356674194,
0.5,24,20,0.18240441354335066,975,-0.0005204114377329199,49,-0.33359517906450037,641.0219969756017,8.075562953948975,
0.5,25,20,0.18555581961201587,975,0.0013436482680821494,49,-0.025892247662134167,-19.27010831420291,8.583002090454102,
0.5,26,20,0.17970299924731692,975,-0.05124256858952114,49,-0.22231838457567862,4.338548802199226,7.8732006549835205,
0.5,27,20,0.1645945177840691,975,0.00333708473912361,49,0.1626984212793249,48.75465683321335,7.653377056121826,
0.5,28,20,0.17847437028695812,975,-0.010501640709019835,49,-0.09744994179053865,9.279496841559158,7.716358661651611,
0.5,29,20,0.1271985441579925,975,0.01542432359352537,49,-0.15769998801822438,-10.224110448799305,7.701661825180054,
0.75,5,20,0.2354687474739567,976,-0.03939582300632985,49,-0.11784798942511018,2.991382853105396,9.10511565208435,
0.75,6,20,0.2201446224108095,976,0.01881151518500087,49,0.10518750029325816,5.591654859207094,8.720097064971924,
0.75,7,20,0.21070672812142846,976,0.020041448098128616,49,-0.2501313698393215,-12.480703420960769,8.493100881576538,
0.75,8,20,0.27523314267617177,976,0.04521652611225266,49,0.13241467279255278,2.928457450796323,8.658905982971191,
0.75,9,20,0.30235406135392695,976,0.051167924562616714,49,0.07714327565508704,1.507649104678518,8.66083550453186,
0.75,10,20,0.244750545784804,976,-0.022386890712634937,49,-0.15554988069354822,6.948257473100426,8.81265115737915,
0.75,11,20,0.23749804733893676,976,0.009757130462483762,49,0.1361361697632802,13.952480218105595,8.568636655807495,
0.75,12,20,0.25305181885637934,976,0.03836757372820816,49,0.0589778036770505,1.5371783500005247,9.151895999908447,
0.75,13,20,0.29269286285638635,976,-0.009459885509167081,49,0.0905595423230423,-9.573006167493864,8.691013097763062,
0.75,14,20,0.27139644786058936,976,-0.0487820517301147,49,-0.23153266924035645,4.74626755187142,9.458298206329346,
0.75,15,20,0.2535633971133971,976,-0.037474288858185066,49,-0.0568212736362629,1.5162735669592862,8.99532151222229,
0.75,16,20,0.25858899686117365,976,0.020386761212472647,49,-0.335955031942833,-16.479078184194126,8.471393823623657,
0.75,17,20,0.25608340181284833,976,0.0742749446929724,49,0.4248159376748329,5.719505271001936,8.627034902572632,
0.75,18,20,0.30712074553031393,976,0.06914382581760649,49,-0.05672183783979003,-0.8203456659950487,8.813860654830933,
0.75,19,20,0.2490387350251085,976,-0.03364744516606551,49,0.17602566514870677,-5.23147193731767,8.474474430084229,
0.75,20,20,0.2935074250754689,976,-0.024266562330102777,49,0.07508877099722541,-3.094330790483556,10.175119400024414,
0.75,21,20,0.26847502209210655,976,-0.029418059266562623,49,-0.2826774639545434,9.608977308569175,8.757407188415527,
0.75,22,20,0.28848794403658223,976,0.030924632723655903,49,0.07242108010966888,2.341857403993359,8.825975179672241,
0.75,23,20,0.2600543406381654,976,-0.009816034251069325,49,0.11637051309854046,-11.855145379699898,8.546720027923584,
0.75,24,20,0.27197029594679434,976,0.051495653543820186,49,-0.07745069527168028,-1.5040239309862078,9.104087114334106,
0.75,25,20,0.27425083596758293,976,-0.006091047861568925,49,0.01575753935656962,-2.5869997600890318,8.868833303451538,
0.75,26,20,0.28395676187244023,976,-0.016770709918246116,49,-0.22287181912249593,13.289349121709924,9.827210187911987,
0.75,27,20,0.2310410300729583,976,-0.01253652416930849,49,-0.016902474554501053,1.3482584427892017,9.01956844329834,
0.75,28,20,0.27152357374363245,976,-0.03146659371241296,49,0.08285376483474159,-2.6330706650989484,8.79582667350769,
0.75,29,20,0.28675398618596915,976,-0.015287551983093582,49,0.08509417952097817,-5.5662397495088385,8.788179159164429,
1.0,5,20,0.3214856511230321,975,0.013280314549554402,49,-0.0899578988938217,-6.773777726284359,8.498779058456421,
1.0,6,20,0.3234148768202047,975,0.05909955860857611,49,-0.10119878332713737,-1.7123441479045518,8.842462062835693,
1.0,7,20,0.30683907711077824,975,-0.02837760645698557,49,0.12081458088816477,-4.257391512962661,8.22344446182251,
1.0,8,20,0.29636504487504844,975,-0.04144082817857909,49,0.05505629793998879,-1.3285520671241697,8.189759254455566,
1.0,9,20,0.30924363255107773,975,-0.004903178959186235,49,-0.003310031848045493,0.6750787347551451,8.517089366912842,
1.0,10,20,0.32053185514902927,975,0.11238825323186576,49,0.22678147490818112,2.017839661946816,8.470340967178345,
1.0,11,20,0.3235446666634709,975,-0.037752035757265025,49,0.2365669662331326,-6.266336675303861,8.2660973072052,
1.0,12,20,0.3653036076500308,975,-0.03741148764370647,49,0.024709685209706615,-0.660483898556314,8.104004144668579,
1.0,13,20,0.3484089166618885,975,0.02788220746480554,49,0.0042503765882793846,0.15244046202742176,8.185007333755493,
1.0,14,20,0.3520896268956188,975,0.06084056793487745,49,-0.021576740165698192,-0.354643963692014,8.417773485183716,
1.0,15,20,0.3609514224748962,975,0.04758622703531451,49,-0.02084748204823617,-0.4380990750278419,8.33555817604065,
1.0,16,20,0.32220123695590286,975,-0.01971280351903967,49,0.0296417144113632,-1.5036782760368743,8.15340256690979,
1.0,17,20,0.3330096241200431,975,0.019322998154334435,49,0.09510342213466792,4.921773597195879,8.328504085540771,
